Time: 2.103 sec | B Button: 1
Time: 2.920 sec | B Button: 2
Time: 3.552 sec | A Button: 1
Time: 3.657 sec | B Button: 3
Time: 3.972 sec | B Button: 4
Time: 3.987 sec | A Button: 2
Time: 4.666 sec | B Button: 5
Time: 6.796 sec | A Button: 3
Time: 7.734 sec | A Button: 4
Time: 9.199 sec | B Button: 6
Time: 9.971 sec | A Button: 5
Time: 10.652 sec | RT Button: 1
Time: 10.909 sec | B Button: 7
Time: 11.417 sec | B Button: 8
Time: 11.745 sec | RT Button: 2
Time: 12.197 sec | LT Button: 1
Time: 12.563 sec | RT Button: 3
Time: 13.511 sec | RT Button: 4
Time: 14.217 sec | RT Button: 5
Time: 1.423 sec | B Button: 1
Time: 1.529 sec | B Button: 2
Time: 2.162 sec | A Button: 1
Time: 2.237 sec | B Button: 3
Time: 3.047 sec | A Button: 2
Time: 3.050 sec | B Button: 4
Time: 5.101 sec | B Button: 5
Time: 5.105 sec | RT Button: 1
Time: 6.191 sec | B Button: 6
Time: 6.807 sec | RB Button: 1
Time: 7.329 sec | Y Button: 1
Time: 7.861 sec | RB Button: 2
Time: 8.355 sec | Y Button: 2
Time: 8.443 sec | RB Button: 3
Time: 9.813 sec | A Button: 3
Time: 12.047 sec | A Button: 4
Time: 14.011 sec | B Button: 7
Time: 14.375 sec | A Button: 5
Time: 14.506 sec | B Button: 8
Time: 14.610 sec | A Button: 6
Time: 14.703 sec | A Button: 7
Time: 14.754 sec | B Button: 9
Time: 14.876 sec | A Button: 8
Time: 15.327 sec | B Button: 10
Time: 16.319 sec | Y Button: 3
Time: 16.374 sec | RB Button: 4
Time: 17.225 sec | LT Button: 1
Time: 18.069 sec | B Button: 11
Time: 18.420 sec | A Button: 9
Time: 19.588 sec | X Button: 1
Time: 19.804 sec | Y Button: 4
Time: 20.567 sec | B Button: 12
Time: 20.772 sec | Y Button: 5
Time: 21.274 sec | B Button: 13
Time: 62.690 sec | A Button: 10
Time: 62.871 sec | B Button: 14
Time: 62.885 sec | B Button: 15
Time: 63.041 sec | A Button: 11
Time: 63.127 sec | B Button: 16
Time: 63.205 sec | A Button: 12
Time: 63.218 sec | A Button: 13
Time: 63.252 sec | B Button: 17
Time: 63.679 sec | RT Button: 2
Time: 63.812 sec | B Button: 18
Time: 63.895 sec | RT Button: 3
Time: 63.987 sec | B Button: 19
Time: 63.996 sec | RT Button: 4
Time: 64.107 sec | B Button: 20
Time: 64.225 sec | RT Button: 5
Time: 64.318 sec | B Button: 21
Time: 64.330 sec | B Button: 22
Time: 64.817 sec | A Button: 14
Time: 64.991 sec | B Button: 23
Time: 65.137 sec | A Button: 15
Time: 65.180 sec | B Button: 24
Time: 65.313 sec | B Button: 25
Time: 65.392 sec | A Button: 16
Time: 65.494 sec | B Button: 26
Time: 65.605 sec | A Button: 17
Time: 65.994 sec | RT Button: 6
Time: 66.164 sec | B Button: 27
Time: 66.254 sec | RT Button: 7
Time: 66.336 sec | B Button: 28
Time: 66.420 sec | RT Button: 8
Time: 66.816 sec | RB Button: 5
Time: 66.975 sec | Y Button: 6
Time: 67.092 sec | RB Button: 6
Time: 67.172 sec | Y Button: 7
Time: 67.250 sec | RB Button: 7
Time: 67.355 sec | Y Button: 8
Time: 68.024 sec | B Button: 29
Time: 68.175 sec | A Button: 18
Time: 68.255 sec | B Button: 30
Time: 68.377 sec | A Button: 19
Time: 68.383 sec | B Button: 31
Time: 68.454 sec | A Button: 20
Time: 68.802 sec | B Button: 32
Time: 70.494 sec | RT Button: 9
Time: 70.679 sec | LB Button: 1
Time: 71.049 sec | LB Button: 2
Time: 72.104 sec | RB Button: 8
Time: 72.149 sec | X Button: 2
Time: 72.421 sec | Y Button: 9
Time: 72.567 sec | Y Button: 10
Time: 73.505 sec | A Button: 21
Time: 73.509 sec | B Button: 33
Time: 74.143 sec | X Button: 3
Time: 74.437 sec | X Button: 4
Time: 76.066 sec | A Button: 22
Time: 76.070 sec | B Button: 34
Time: 76.170 sec | X Button: 5
Time: 78.089 sec | Y Button: 11
